instrument,datetime,open,high,low,close,volume
AAPL,11/1/2010,9.094887387,9.196603667,9.094285501,9.153870583,423889200
AAPL,11/2/2010,9.238735215,9.334733183,9.238735215,9.309755325,433930000
AAPL,11/3/2010,9.370245096,9.415687077,9.284779714,9.413279533,508348400
AAPL,11/4/2010,9.493026108,9.635369283,9.480386507,9.577890396,642488000
AAPL,11/5/2010,9.569464005,9.617011374,9.53214789,9.543582916,361253200
AAPL,11/8/2010,9.545692538,9.623032873,9.532451047,9.588425636,281758400
AAPL,11/9/2010,9.66155079,9.669074764,9.464438406,9.511985779,383544000
AAPL,11/10/2010,9.528833761,9.592933368,9.435844449,9.570664406,384227200
AAPL,11/11/2010,9.479484342,9.581803321,9.456914027,9.529139519,361284000
AAPL,11/12/2010,9.509577788,9.524624129,9.137320665,9.269731522,795846800
AAPL,11/15/2010,9.282670863,9.345265367,9.216765585,9.239937782,403606000
AAPL,11/16/2010,9.200213353,9.256788996,9.007613966,9.075926781,657650000
AAPL,11/17/2010,9.06418939,9.148150419,8.960667483,9.043124199,479449600
AAPL,11/18/2010,9.184559651,9.31907821,9.16921278,9.281762123,494491200
AAPL,11/19/2010,9.267926007,9.280866149,9.185770611,9.230609894,384843200
AAPL,11/22/2010,9.229105128,9.430130959,9.204729959,9.430130959,393075200
AAPL,11/23/2010,9.342556693,9.381679264,9.225492736,9.290795326,519447600
AAPL,11/24/2010,9.389198785,9.491517717,9.381676422,9.473461151,413725200
AAPL,11/26/2010,9.441566556,9.560737535,9.417491927,9.479484558,237585600
AAPL,11/29/2010,9.494529249,9.554114327,9.370544008,9.535758018,445785200
AAPL,11/30/2010,9.435545998,9.460223312,9.355196266,9.363622665,501858000
AAPL,12/1/2010,9.487608884,9.562241112,9.479483828,9.521615028,461750800
AAPL,12/2/2010,9.555619421,9.599856815,9.476172115,9.574277878,462837200
AAPL,12/3/2010,9.53996876,9.589321768,9.519805996,9.552908897,342092800
AAPL,12/6/2010,9.589025149,9.70007107,9.582404405,9.634467125,448481600
AAPL,12/7/2010,9.744306616,9.750023324,9.5733751,9.576083183,391454000
AAPL,12/8/2010,9.618814818,9.660645468,9.542979638,9.660344124,321935600
AAPL,12/9/2010,9.694051558,9.705185239,9.600459528,9.622729301,294151200
AAPL,12/10/2010,9.619416554,9.661547745,9.58781796,9.646801949,262511200
AAPL,12/13/2010,9.761461025,9.782225682,9.660045285,9.680207253,439815600
AAPL,12/14/2010,9.68201352,9.706389491,9.599857322,9.638678551,351008000
AAPL,12/15/2010,9.629947613,9.720228836,9.605572454,9.640782356,417312000
AAPL,12/16/2010,9.662754074,9.708496591,9.632961933,9.66756916,322030800
AAPL,12/17/2010,9.679006036,9.683821123,9.63687483,9.648310661,386929200
